,account_number,name,item_code,category,quantity,unit price,net_price,date
142,299771,"Kuphal, Zieme and Kub",FK-71853,Shirt,20,32.7,654.0,2014-04-26 05:18:02
143,296809,Carroll PLC,MJ-21460,Shoes,15,93.06,1395.9,2014-08-17 18:39:56
144,750461,"Volkman, Goyette and Lemke",LL-46261,Shoes,17,49.59,843.03,2013-10-29 12:57:27
145,750461,"Volkman, Goyette and Lemke",WJ-02096,Belt,17,45.43,772.31,2014-05-09 06:44:04
146,711951,Kilback-Gerlach,AS-93055,Shirt,2,31.54,63.08,2014-01-26 05:15:19
147,304860,Huel-Haag,LW-86841,Shoes,6,93.02,558.12,2013-11-23 08:51:18
148,750461,"Volkman, Goyette and Lemke",FK-71853,Shirt,16,57.02,912.32,2014-10-14 14:07:31
149,711951,Kilback-Gerlach,FK-71853,Shirt,11,53.17,584.87,2014-06-10 15:11:01
150,305803,"Davis, Kshlerin and Reilly",LL-46261,Shoes,12,52.51,630.12,2014-08-03 03:39:52
151,115138,Gorczany-Hahn,MJ-21460,Shoes,13,96.31,1252.03,2013-12-03 04:04:40
152,201259,Koelpin PLC,LW-86841,Shoes,16,90.97,1455.52,2014-08-29 07:41:36
153,734922,Berge LLC,KV-99194,Shirt,7,64.02,448.14,2013-11-05 03:55:12
154,563905,"Kerluke, Reilly and Bechtelar",GS-86623,Shoes,15,18.41,276.15,2014-03-02 17:47:13
155,305803,"Davis, Kshlerin and Reilly",MJ-21460,Shoes,2,29.63,59.26,2014-03-27 23:48:17
156,750461,"Volkman, Goyette and Lemke",FK-71853,Shirt,4,46.82,187.28,2014-02-15 06:51:19
157,850140,Kunze Inc,VG-32047,Shirt,9,93.69,843.21,2014-03-20 15:25:39
158,93356,Waters-Walker,GS-86623,Shoes,15,64.11,961.65,2013-10-23 08:28:53
159,304860,Huel-Haag,LL-46261,Shoes,3,48.87,146.61,2014-04-03 22:36:22
160,929400,"Senger, Upton and Breitenberg",MJ-21460,Shoes,14,87.01,1218.14,2013-12-14 16:40:16
161,929400,"Senger, Upton and Breitenberg",KV-99194,Shirt,4,17.98,71.92,2014-07-22 19:10:27
162,734922,Berge LLC,AS-93055,Shirt,10,93.77,937.7,2014-08-17 09:21:15
163,734922,Berge LLC,MJ-21460,Shoes,6,84.73,508.38,2014-07-20 18:27:59
164,711951,Kilback-Gerlach,QN-82852,Belt,11,45.49,500.39,2013-11-12 10:13:25
165,299771,"Kuphal, Zieme and Kub",LL-46261,Shoes,17,70.23,1193.91,2014-08-14 13:57:01
166,995267,Cole-Eichmann,FK-71853,Shirt,10,51.29,512.9,2014-09-16 05:26:10
167,93356,Waters-Walker,AS-93055,Shirt,16,75.48,1207.68,2014-08-23 04:04:11
168,676847,Hamill-Hackett,MJ-21460,Shoes,19,56.9,1081.1,2014-10-21 08:46:48
169,524021,Hegmann and Sons,FK-71853,Shirt,10,71.89,718.9,2014-09-11 00:45:37
170,929400,"Senger, Upton and Breitenberg",MJ-21460,Shoes,10,13.02,130.2,2014-06-30 10:31:23
171,304860,Huel-Haag,MJ-21460,Shoes,3,79.49,238.47,2014-06-02 13:06:24
172,734922,Berge LLC,AS-93055,Shirt,11,81.53,896.83,2014-09-01 17:46:10
173,659366,Waelchi-Fahey,LL-46261,Shoes,1,18.68,18.68,2014-05-19 18:10:49
174,201259,Koelpin PLC,MJ-21460,Shoes,20,45.32,906.4,2014-07-06 22:06:23
175,711951,Kilback-Gerlach,AS-93055,Shirt,10,68.74,687.4,2014-03-27 12:14:12
176,750461,"Volkman, Goyette and Lemke",AS-93055,Shirt,10,90.0,900.0,2014-07-10 22:17:15
177,995267,Cole-Eichmann,WJ-02096,Belt,6,20.3,121.8,2014-05-23 10:24:32
178,563905,"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,17,58.67,997.39,2013-12-08 13:43:29
179,659366,Waelchi-Fahey,FK-71853,Shirt,2,12.68,25.36,2014-04-27 03:38:16
180,676847,Hamill-Hackett,GS-86623,Shoes,17,49.68,844.56,2014-01-28 15:37:10
181,524021,Hegmann and Sons,MJ-21460,Shoes,2,95.37,190.74,2014-03-30 08:27:54
182,524021,Hegmann and Sons,AS-93055,Shirt,20,96.98,1939.6,2014-06-13 18:23:55
183,296809,Carroll PLC,VG-32047,Shirt,16,23.79,380.64,2014-02-26 18:22:57
184,995267,Cole-Eichmann,KV-99194,Shirt,2,37.86,75.72,2014-04-04 19:30:50
185,304860,Huel-Haag,KV-99194,Shirt,9,66.18,595.62,2014-01-15 11:55:40
186,524021,Hegmann and Sons,KV-99194,Shirt,6,98.89,593.34,2014-04-22 00:24:15
187,758133,"Kihn, McClure and Denesik",VG-32047,Shirt,4,25.02,100.08,2014-05-26 06:54:22
188,563905,"Kerluke, Reilly and Bechtelar",WJ-02096,Belt,16,64.58,1033.28,2013-12-17 23:35:15
189,305803,"Davis, Kshlerin and Reilly",FK-71853,Shirt,18,48.7,876.6,2014-02-10 08:43:23
190,734922,Berge LLC,QN-82852,Belt,16,24.66,394.56,2013-12-12 00:57:07
191,563905,"Kerluke, Reilly and Bechtelar",LW-86841,Shoes,5,43.15,215.75,2014-04-06 06:24:33
192,296809,Carroll PLC,QN-82852,Belt,2,54.52,109.04,2014-08-24 09:43:19
193,929400,"Senger, Upton and Breitenberg",WJ-02096,Belt,8,91.14,729.12,2014-06-11 10:12:04
194,98022,Heidenreich-Bosco,LW-86841,Shoes,13,65.79,855.27,2014-06-28 04:47:33
195,750461,"Volkman, Goyette and Lemke",AS-93055,Shirt,8,14.73,117.84,2014-03-19 05:18:21
196,758133,"Kihn, McClure and Denesik",VG-32047,Shirt,14,96.18,1346.52,2014-10-04 09:49:10
197,524021,Hegmann and Sons,MJ-21460,Shoes,6,81.1,486.6,2014-02-15 15:29:46
198,98022,Heidenreich-Bosco,FK-71853,Shirt,12,38.32,459.84,2014-06-25 09:29:53
199,929400,"Senger, Upton and Breitenberg",FK-71853,Shirt,3,51.8,155.4,2014-03-31 04:17:46
200,850140,Kunze Inc,FK-71853,Shirt,13,40.29,523.77,2014-09-01 23:53:15
201,98022,Heidenreich-Bosco,KV-99194,Shirt,10,22.17,221.7,2014-02-26 06:59:32
202,711951,Kilback-Gerlach,MJ-21460,Shoes,15,43.41,651.15,2014-03-09 00:29:06
203,115138,Gorczany-Hahn,KV-99194,Shirt,11,67.32,740.52,2014-02-28 18:44:43
204,524021,Hegmann and Sons,FK-71853,Shirt,3,17.9,53.7,2014-10-14 19:22:12
205,563905,"Kerluke, Reilly and Bechtelar",LW-86841,Shoes,7,44.27,309.89,2014-10-08 13:05:13
206,524021,Hegmann and Sons,FK-71853,Shirt,18,51.72,930.96,2014-02-14 00:05:05
207,305803,"Davis, Kshlerin and Reilly",AS-93055,Shirt,9,22.01,198.09,2014-04-08 03:17:21
208,563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,10,36.38,363.8,2014-01-02 13:43:36
209,304860,Huel-Haag,FK-71853,Shirt,11,63.78,701.58,2014-07-15 23:58:16
210,201259,Koelpin PLC,MJ-21460,Shoes,10,56.51,565.1,2014-09-22 16:34:24
211,555594,"Ernser, Cruickshank and Lind",AS-93055,Shirt,2,10.47,20.94,2014-04-23 15:24:21
212,734922,Berge LLC,GS-86623,Shoes,8,21.39,171.12,2014-03-12 11:43:23
213,201259,Koelpin PLC,LL-46261,Shoes,13,26.49,344.37,2014-09-09 14:59:01
214,758133,"Kihn, McClure and Denesik",VG-32047,Shirt,20,95.6,1912.0,2014-10-12 20:10:43
215,995267,Cole-Eichmann,LL-46261,Shoes,17,72.91,1239.47,2014-02-26 16:19:25
216,659366,Waelchi-Fahey,FK-71853,Shirt,15,89.45,1341.75,2014-09-09 09:21:01
217,305803,"Davis, Kshlerin and Reilly",KV-99194,Shirt,4,63.39,253.56,2014-09-15 18:49:05
218,305803,"Davis, Kshlerin and Reilly",QN-82852,Belt,15,51.64,774.6,2014-09-07 02:44:53
219,115138,Gorczany-Hahn,LW-86841,Shoes,6,72.98,437.88,2014-06-15 03:34:22
220,850140,Kunze Inc,MJ-21460,Shoes,8,63.28,506.24,2014-06-21 21:09:50
221,555594,"Ernser, Cruickshank and Lind",WJ-02096,Belt,15,63.31,949.65,2014-04-23 06:25:35
222,734922,Berge LLC,MJ-21460,Shoes,10,44.59,445.9,2014-05-04 18:52:20
223,563905,"Kerluke, Reilly and Bechtelar",LW-86841,Shoes,7,41.87,293.09,2013-12-09 01:15:23
224,299771,"Kuphal, Zieme and Kub",LW-86841,Shoes,4,35.0,140.0,2014-04-13 20:37:05
225,659366,Waelchi-Fahey,WJ-02096,Belt,13,68.39,889.07,2013-11-27 12:45:23
226,555594,"Ernser, Cruickshank and Lind",LL-46261,Shoes,8,82.19,657.52,2014-07-19 13:51:23
227,296809,Carroll PLC,AS-93055,Shirt,1,58.8,58.8,2014-09-06 13:00:55
228,296809,Carroll PLC,QN-82852,Belt,16,27.44,439.04,2014-07-06 13:23:48
229,296809,Carroll PLC,MJ-21460,Shoes,14,99.5,1393.0,2014-06-07 23:28:22
230,929400,"Senger, Upton and Breitenberg",MJ-21460,Shoes,3,56.34,169.02,2014-07-13 09:41:43
231,995267,Cole-Eichmann,LW-86841,Shoes,9,83.87,754.83,2014-07-28 01:53:47
232,296809,Carroll PLC,MJ-21460,Shoes,19,56.63,1075.97,2013-12-08 02:40:53
233,711951,Kilback-Gerlach,WJ-02096,Belt,1,56.95,56.95,2014-03-08 15:50:55
234,524021,Hegmann and Sons,GS-86623,Shoes,10,31.81,318.1,2013-11-18 23:11:16
235,995267,Cole-Eichmann,QN-82852,Belt,13,40.34,524.42,2014-09-08 14:00:39
236,758133,"Kihn, McClure and Denesik",GS-86623,Shoes,10,91.59,915.9,2014-03-19 14:06:11
237,758133,"Kihn, McClure and Denesik",GS-86623,Shoes,7,95.78,670.46,2014-05-16 23:44:14
238,296809,Carroll PLC,LL-46261,Shoes,9,90.91,818.19,2014-10-11 20:37:05
239,758133,"Kihn, McClure and Denesik",AS-93055,Shirt,12,24.09,289.08,2013-12-08 06:53:09
240,711951,Kilback-Gerlach,LL-46261,Shoes,9,10.81,97.29,2013-12-06 00:59:43
241,93356,Waters-Walker,QN-82852,Belt,3,59.61,178.83,2014-08-02 13:29:11
242,201259,Koelpin PLC,WJ-02096,Belt,16,16.3,260.8,2014-04-05 02:00:02
243,929400,"Senger, Upton and Breitenberg",LL-46261,Shoes,4,23.08,92.32,2014-09-13 11:34:24
244,524021,Hegmann and Sons,MJ-21460,Shoes,18,42.01,756.18,2013-11-27 03:18:14
245,676847,Hamill-Hackett,LL-46261,Shoes,5,74.02,370.1,2013-11-10 07:30:39
246,93356,Waters-Walker,QN-82852,Belt,11,77.66,854.26,2014-03-15 17:01:26
247,98022,Heidenreich-Bosco,LL-46261,Shoes,7,14.75,103.25,2014-09-14 23:53:52
248,659366,Waelchi-Fahey,LW-86841,Shoes,16,38.75,620.0,2014-03-20 05:48:40
249,929400,"Senger, Upton and Breitenberg",LL-46261,Shoes,13,53.39,694.07,2014-02-26 15:03:04
250,676847,Hamill-Hackett,KV-99194,Shirt,1,55.51,55.51,2014-07-15 17:41:23
251,305803,"Davis, Kshlerin and Reilly",KV-99194,Shirt,7,16.0,112.0,2014-05-05 21:05:51
252,850140,Kunze Inc,AS-93055,Shirt,20,63.75,1275.0,2014-02-09 10:28:34
253,201259,Koelpin PLC,GS-86623,Shoes,15,66.78,1001.7,2014-04-29 20:36:59
254,93356,Waters-Walker,VG-32047,Shirt,2,75.16,150.32,2013-11-26 12:30:16
255,98022,Heidenreich-Bosco,MJ-21460,Shoes,14,34.8,487.2,2014-03-08 06:35:20
256,296809,Carroll PLC,QN-82852,Belt,14,14.82,207.48,2014-04-06 19:17:38
257,676847,Hamill-Hackett,VG-32047,Shirt,4,88.99,355.96,2013-12-16 01:09:18
258,711951,Kilback-Gerlach,LW-86841,Shoes,13,71.43,928.59,2014-04-26 03:39:28
259,304860,Huel-Haag,LL-46261,Shoes,6,23.37,140.22,2013-10-22 22:50:47
260,711951,Kilback-Gerlach,LL-46261,Shoes,19,30.06,571.14,2014-06-28 01:20:04
261,555594,"Ernser, Cruickshank and Lind",QN-82852,Belt,2,74.42,148.84,2013-12-09 09:10:44
262,659366,Waelchi-Fahey,QN-82852,Belt,4,38.69,154.76,2014-02-14 02:42:30
263,201259,Koelpin PLC,AS-93055,Shirt,3,16.22,48.66,2014-07-11 08:17:44
264,296809,Carroll PLC,VG-32047,Shirt,15,63.45,951.75,2014-10-12 09:08:07
265,563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,19,78.34,1488.46,2014-09-28 19:20:15
266,299771,"Kuphal, Zieme and Kub",KV-99194,Shirt,9,79.63,716.67,2014-02-16 01:11:09
267,750461,"Volkman, Goyette and Lemke",LW-86841,Shoes,3,96.59,289.77,2014-01-11 05:10:44
268,524021,Hegmann and Sons,WJ-02096,Belt,20,66.27,1325.4,2014-10-05 01:36:59
269,115138,Gorczany-Hahn,AS-93055,Shirt,8,16.11,128.88,2014-08-06 01:09:28
270,850140,Kunze Inc,FK-71853,Shirt,7,76.23,533.61,2013-11-06 02:36:22
